Case,Sample_Index,True_Family,Predicted_Family,Explained_Class,Explanation_Type,Rank,Feature,Feature_Value,SHAP_Value,Absolute_SHAP
High-confidence correct,19,Benign,Benign,Benign,True_Class,4,pslist.avg_threads,12.72026538848877,0.49064791202545166,0.49064791202545166
High-confidence correct,19,Benign,Benign,Benign,True_Class,5,handles.nthread,1192.0,0.4861169159412384,0.4861169159412384
High-confidence correct,19,Benign,Benign,Benign,True_Class,6,handles.ntimer,142.0,0.34987494349479675,0.34987494349479675
High-confidence correct,19,Benign,Benign,Benign,True_Class,7,dlllist.avg_dlls_per_proc,49.79069900512695,0.23326902091503143,0.23326902091503143
High-confidence correct,19,Benign,Benign,Benign,True_Class,8,dlllist.ndlls,2141.0,0.13218362629413605,0.13218362629413605
High-confidence correct,19,Benign,Benign,Benign,True_Class,9,handles.nsection,425.0,0.12046114355325699,0.12046114355325699
High-confidence correct,19,Benign,Benign,Benign,True_Class,10,malfind.commitCharge,5.0,0.11069720983505249,0.11069720983505249
High-confidence correct,19,Benign,Benign,Benign,True_Class,11,pslist.nppid,13.0,0.07899127900600433,0.07899127900600433
High-confidence correct,19,Benign,Benign,Benign,True_Class,12,ldrmodules.not_in_init_avg,0.05545023828744888,0.07062225788831711,0.07062225788831711
High-confidence correct,19,Benign,Benign,Benign,True_Class,13,svcscan.shared_process_services,118.0,0.06862502545118332,0.06862502545118332
High-confidence correct,19,Benign,Benign,Benign,True_Class,14,callbacks.ncallbacks,88.0,-0.06023111194372177,0.06023111194372177
High-confidence correct,19,Benign,Benign,Benign,True_Class,15,handles.nevent,4510.0,0.05164887011051178,0.05164887011051178
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,1,handles.nfile,667.0,0.96584552526474,0.96584552526474
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,2,ldrmodules.not_in_load_avg,0.03479304164648056,0.716676652431488,0.716676652431488
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,3,ldrmodules.not_in_init_avg,0.059988003224134445,0.44453829526901245,0.44453829526901245
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,4,handles.avg_handles_per_proc,201.6511688232422,0.3059461712837219,0.3059461712837219
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,5,ldrmodules.not_in_load,58.0,0.29676008224487305,0.29676008224487305
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,6,handles.nsemaphore,644.0,0.2924099862575531,0.2924099862575531
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,7,handles.nmutant,261.0,0.152357280254364,0.152357280254364
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,8,psxview.not_in_deskthrd_false_avg,0.13953489065170288,0.12753745913505554,0.12753745913505554
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,9,pslist.nppid,18.0,0.12186941504478455,0.12186941504478455
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,10,ldrmodules.not_in_init,100.0,0.08990148454904556,0.08990148454904556
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,11,handles.nkey,730.0,-0.08602289110422134,0.08602289110422134
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,12,dlllist.avg_dlls_per_proc,37.930233001708984,0.06964228302240372,0.06964228302240372
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,13,pslist.avg_handlers,201.6511688232422,0.06674688309431076,0.06674688309431076
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,14,handles.nhandles,8671.0,-0.05388129875063896,0.05388129875063896
High-confidence error,186,180solutions,Gator,Gator,Predicted_Class,15,dlllist.ndlls,1631.0,0.05358202010393143,0.05358202010393143
High-confidence error,186,180solutions,Gator,180solutions,True_Class,1,svcscan.nservices,389.0,0.38929200172424316,0.38929200172424316
High-confidence error,186,180solutions,Gator,180solutions,True_Class,2,psxview.not_in_deskthrd_false_avg,0.13953489065170288,0.26752784848213196,0.26752784848213196
High-confidence error,186,180solutions,Gator,180solutions,True_Class,3,pslist.avg_handlers,201.6511688232422,-0.1930062174797058,0.1930062174797058
High-confidence error,186,180solutions,Gator,180solutions,True_Class,4,handles.nsection,190.0,0.14620377123355865,0.14620377123355865
High-confidence error,186,180solutions,Gator,180solutions,True_Class,5,ldrmodules.not_in_load_avg,0.03479304164648056,0.14241820573806763,0.14241820573806763
High-confidence error,186,180solutions,Gator,180solutions,True_Class,6,dlllist.avg_dlls_per_proc,37.930233001708984,-0.12259389460086823,0.12259389460086823
High-confidence error,186,180solutions,Gator,180solutions,True_Class,7,ldrmodules.not_in_load,58.0,0.11407964676618576,0.11407964676618576
High-confidence error,186,180solutions,Gator,180solutions,True_Class,8,dlllist.ndlls,1631.0,-0.10990214347839355,0.10990214347839355
High-confidence error,186,180solutions,Gator,180solutions,True_Class,9,handles.nevent,2978.0,0.10517716407775879,0.10517716407775879
High-confidence error,186,180solutions,Gator,180solutions,True_Class,10,ldrmodules.not_in_init_avg,0.059988003224134445,0.09609673917293549,0.09609673917293549
High-confidence error,186,180solutions,Gator,180solutions,True_Class,11,handles.nmutant,261.0,-0.07945773005485535,0.07945773005485535
High-confidence error,186,180solutions,Gator,180solutions,True_Class,12,svcscan.nactive,119.0,0.06392552703619003,0.06392552703619003
High-confidence error,186,180solutions,Gator,180solutions,True_Class,13,handles.nkey,730.0,-0.06305854022502899,0.06305854022502899
High-confidence error,186,180solutions,Gator,180solutions,True_Class,14,malfind.uniqueInjections,1.0,0.05849236622452736,0.05849236622452736
High-confidence error,186,180solutions,Gator,180solutions,True_Class,15,handles.nfile,667.0,0.05283036828041077,0.05283036828041077
