Cohort_Position,True_Family,Predicted_Family,ATTACK_Candidate_ID,ATTACK_Candidate_Name,Aggregated_Evidence_Level,Supporting_Feature_Count,Supporting_Features,Candidate_Positive_SHAP,Candidate_Normalized_SHAP_Support
47,Benign,Benign,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.0700278952717781,0.012510690599509117
47,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4154701605439186,0.0742249729442906
49,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.07977294921875,0.01398033242632335
52,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.07093165814876556,0.012423475905836014
53,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.07977087795734406,0.013968464174476582
55,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4419499337673187,0.08191732495225268
57,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.44546541571617126,0.08762629121365231
58,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.07093165814876556,0.012423475970683962
59,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08096595108509064,0.0141238418264977
61,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08102338016033173,0.014209265226147108
62,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.42601868510246277,0.08005116497645479
63,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4219935014843941,0.0765649467285534
64,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.45117612183094025,0.0982731023882698
70,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.07977087795734406,0.014005116511073203
71,Benign,Benign,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.057790834456682205,0.011068492478242348
71,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.43755975365638733,0.08380441098765445
72,Benign,Benign,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.07110347598791122,0.012745218118423525
72,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4250964820384979,0.07619806640502788
74,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.40642084181308746,0.0788004243054277
77,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08485908061265945,0.015032225915034917
78,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08101805299520493,0.014183560021301415
80,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.38714103400707245,0.07297770780255386
82,Benign,Benign,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.07215812802314758,0.012981974206640644
82,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4250964820384979,0.0764791398605456
84,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08096595108509064,0.014122366363124531
87,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08102012425661087,0.014189928108952017
88,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.42159128934144974,0.07584286937425327
92,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08096595108509064,0.0141238418264977
93,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4321253001689911,0.08095647642580793
94,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4923507869243622,0.10471607352427469
97,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08485908061265945,0.015032225915034917
99,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08102012425661087,0.014180021741808858
101,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.44307470321655273,0.08132673494766912
102,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08102338016033173,0.014209265300411906
103,Benign,Benign,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.05671525374054909,0.010983392047195764
103,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4398338198661804,0.0851775661853747
104,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.07977294921875,0.013980332572359191
109,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.43217340111732483,0.08083876602710996
110,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.38821978867053986,0.07177602919380538
111,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4882360249757767,0.10378774402022584
113,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4063727408647537,0.07879088818909975
115,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.44273754954338074,0.08266228130222372
117,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.07977294921875,0.013978346976873628
119,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08096595108509064,0.01412384230377057
120,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4400983601808548,0.08263219724923833
121,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.07978598773479462,0.014011612725726265
122,Benign,Benign,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.02103387378156185,0.003614706422665403
122,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08197245746850967,0.014087104047987044
125,180solutions,180solutions,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.05537966638803482,0.028462334154265086
125,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,4,ldrmodules.not_in_load_avg; ldrmodules.not_in_load; ldrmodules.not_in_init_avg; ldrmodules.not_in_mem_avg,0.3813064843416214,0.19597215513136637
126,180solutions,Gator,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_deskthrd_false_avg,0.1071782261133194,0.029900800789926237
126,180solutions,Gator,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,5,ldrmodules.not_in_load_avg; ldrmodules.not_in_load; ldrmodules.not_in_init_avg; ldrmodules.not_in_init; ldrmodules.not_in_mem,1.77981036901474,0.49653513794385606
127,180solutions,180solutions,T1055,Process Injection,HIGH_CANDIDATE,2,malfind.ninjections; malfind.uniqueInjections,1.076211303472519,0.32633053896352165
127,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_load_avg; ldrmodules.not_in_load,0.1763160154223442,0.05346282849383155
128,180solutions,180solutions,T1055,Process Injection,HIGH_CANDIDATE,2,malfind.ninjections; malfind.uniqueInjections,1.230328731238842,0.36177736258761567
128,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_load; ldrmodules.not_in_load_avg,0.1463666558265686,0.04303901987429548
129,180solutions,Conti,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pspcid_list_false_avg,0.053601715713739395,0.02788063813014719
129,180solutions,Conti,T1055,Process Injection,HIGH_CANDIDATE,1,malfind.uniqueInjections,0.4228784739971161,0.21995791645005802
130,180solutions,Emotet,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_load,0.06306647509336472,0.03930339335013153
131,180solutions,180solutions,T1055,Process Injection,HIGH_CANDIDATE,1,malfind.ninjections,0.0922870859503746,0.016778879591513186
132,180solutions,180solutions,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_deskthrd_false_avg,0.33865875005722046,0.13516301010307788
132,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_load_avg; ldrmodules.not_in_init_avg,0.1887870356440544,0.0753473046297373
133,180solutions,Transponder,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_load; ldrmodules.not_in_init_avg; ldrmodules.not_in_mem,0.654455978423357,0.27101420075613375
134,180solutions,Ako,T1055,Process Injection,HIGH_CANDIDATE,2,malfind.uniqueInjections; malfind.ninjections,0.7324557155370712,0.28846192324339553
134,180solutions,Ako,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load_avg,0.2706923484802246,0.10660635693534294
135,180solutions,Shade,T1055,Process Injection,HIGH_CANDIDATE,1,malfind.uniqueInjections,0.10594349354505539,0.04442120623990287
135,180solutions,Shade,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_load_avg; ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4232235997915268,0.17745405765704966
136,180solutions,180solutions,T1055,Process Injection,HIGH_CANDIDATE,1,malfind.uniqueInjections,0.05133155733346939,0.03399719315121475
136,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_load,0.0636470839381218,0.04215383905262974
137,180solutions,Ako,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_mem; ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.2690836489200592,0.14224976429607522
138,180solutions,Reconyc,T1055,Process Injection,HIGH_CANDIDATE,2,malfind.uniqueInjections; malfind.ninjections,0.32469306886196136,0.1538153177136617
138,180solutions,Reconyc,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,4,ldrmodules.not_in_mem_avg; ldrmodules.not_in_load_avg; ldrmodules.not_in_load; ldrmodules.not_in_init_avg,0.4631120562553406,0.2193878924475175
139,180solutions,Scar,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_load_avg; ldrmodules.not_in_mem_avg; ldrmodules.not_in_init_avg,1.049214944243431,0.42356699380381974
140,180solutions,Scar,T1055,Process Injection,HIGH_CANDIDATE,1,malfind.ninjections,0.042638689279556274,0.02134282902658357
140,180solutions,Scar,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,5,ldrmodules.not_in_load_avg; ldrmodules.not_in_mem; ldrmodules.not_in_mem_avg; ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.7797396183013916,0.3902992713858891
141,180solutions,Shade,T1055,Process Injection,HIGH_CANDIDATE,1,malfind.uniqueInjections,0.07728366553783417,0.03141833591210226
141,180solutions,Shade,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_init_avg; ldrmodules.not_in_load_avg; ldrmodules.not_in_load,0.3641572557389736,0.14804182625156878
142,180solutions,Transponder,T1055,Process Injection,HIGH_CANDIDATE,1,malfind.ninjections,0.12195068597793579,0.04333261915101292
142,180solutions,Transponder,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_load,0.17312820255756378,0.06151747655674251
143,180solutions,CWS,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,5,ldrmodules.not_in_init_avg; ldrmodules.not_in_load_avg; ldrmodules.not_in_load; ldrmodules.not_in_mem_avg; ldrmodules.not_in_mem,0.5795448273420334,0.3453734389306325
144,180solutions,180solutions,T1014,Rootkit,MEDIUM_CANDIDATE,2,psxview.not_in_pslist_false_avg; psxview.not_in_session_false_avg,0.21555574983358383,0.18384695120678948
144,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_load_avg; ldrmodules.not_in_load,0.14286604523658752,0.12185008689397388
145,180solutions,Gator,T1014,Rootkit,MEDIUM_CANDIDATE,4,psxview.not_in_pslist; psxview.not_in_deskthrd; psxview.not_in_pslist_false_avg; psxview.not_in_session_false_avg,0.4563133493065834,0.2222639150480655
146,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,4,ldrmodules.not_in_init_avg; ldrmodules.not_in_init; ldrmodules.not_in_load; ldrmodules.not_in_load_avg,1.2937939316034317,0.4411970499350955
147,180solutions,CWS,T1014,Rootkit,MEDIUM_CANDIDATE,2,psxview.not_in_ethread_pool; psxview.not_in_pslist_false_avg,0.17596618831157684,0.08090742311665013
147,180solutions,CWS,T1055,Process Injection,HIGH_CANDIDATE,1,malfind.ninjections,0.15801450610160828,0.07265342635651224
147,180solutions,CWS,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_mem_avg,0.08043922483921051,0.03698511891226314
148,180solutions,180solutions,T1055,Process Injection,HIGH_CANDIDATE,2,malfind.uniqueInjections; malfind.ninjections,0.15562701225280762,0.0694628272351283
148,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_load_avg; ldrmodules.not_in_load; ldrmodules.not_in_init_avg,0.34556814283132553,0.15424147682320782
149,180solutions,Reconyc,T1055,Process Injection,HIGH_CANDIDATE,2,malfind.uniqueInjections; malfind.ninjections,0.41552603244781494,0.16382480273807898
149,180solutions,Reconyc,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,4,ldrmodules.not_in_load_avg; ldrmodules.not_in_load; ldrmodules.not_in_init_avg; ldrmodules.not_in_mem_avg,1.3670916110277176,0.5389879237701564
150,180solutions,Transponder,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_load; ldrmodules.not_in_init_avg,0.6257356107234955,0.27784220048815844
151,180solutions,Transponder,T1014,Rootkit,MEDIUM_CANDIDATE,2,psxview.not_in_deskthrd_false_avg; psxview.not_in_session_false_avg,0.3252734988927841,0.12115405542343327
151,180solutions,Transponder,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_load; ldrmodules.not_in_load_avg; ldrmodules.not_in_init_avg,0.7265955954790115,0.2706338000013426
152,180solutions,180solutions,T1055,Process Injection,HIGH_CANDIDATE,1,malfind.uniqueInjections,0.05133755877614021,0.030624321468911316
153,180solutions,Ako,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_csrss_handles_false_avg,0.10857447236776352,0.046576112236068494
153,180solutions,Ako,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_init_avg; ldrmodules.not_in_load; ldrmodules.not_in_load_avg,0.5785368233919144,0.2481798477245079
154,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.1338595449924469,0.046562284628858544
155,180solutions,Transponder,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_load; ldrmodules.not_in_init_avg; ldrmodules.not_in_mem,0.7150868661701679,0.30646934978231116
156,180solutions,Transponder,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_load; ldrmodules.not_in_init_avg; ldrmodules.not_in_mem,0.7241465523838997,0.3000386371116833
157,180solutions,Transponder,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.04734935611486435,0.027615367122926567
158,180solutions,180solutions,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.06081654131412506,0.036073043775213205
158,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,4,ldrmodules.not_in_load_avg; ldrmodules.not_in_load; ldrmodules.not_in_init_avg; ldrmodules.not_in_init,0.3425900563597679,0.20320567123649258
159,180solutions,Shade,T1014,Rootkit,MEDIUM_CANDIDATE,2,psxview.not_in_session_false_avg; psxview.not_in_deskthrd_false_avg,0.2115071937441826,0.07827601993599395
159,180solutions,Shade,T1055,Process Injection,HIGH_CANDIDATE,1,malfind.uniqueInjections,0.1333743780851364,0.0493600964257041
159,180solutions,Shade,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_mem_avg; ldrmodules.not_in_load_avg,0.1346060372889042,0.04981591723577586
160,180solutions,TIBS,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_load; ldrmodules.not_in_init_avg,0.552396222949028,0.20076702204356375
161,180solutions,Zeus,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_ethread_pool_false_avg,0.03948746621608734,0.020371259690688502
161,180solutions,Zeus,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_load,0.0661863386631012,0.03414498883021745
162,180solutions,Refroso,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_load_avg; ldrmodules.not_in_init_avg,0.5401695966720581,0.22574471431048226
163,180solutions,Transponder,T1055,Process Injection,HIGH_CANDIDATE,2,malfind.uniqueInjections; malfind.ninjections,0.48189719021320343,0.21068873712229932
163,180solutions,Transponder,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_mem_avg,0.22791648656129837,0.0996466418526044
164,180solutions,Transponder,T1055,Process Injection,HIGH_CANDIDATE,2,malfind.ninjections; malfind.uniqueInjections,0.5276423692703247,0.21950210426634484
164,180solutions,Transponder,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_load_avg; ldrmodules.not_in_mem_avg,0.12036232650279999,0.05007138448395131
165,180solutions,Transponder,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_load; ldrmodules.not_in_init_avg; ldrmodules.not_in_mem,0.7307294979691505,0.30104463276452476
166,180solutions,180solutions,T1014,Rootkit,MEDIUM_CANDIDATE,2,psxview.not_in_deskthrd_false_avg; psxview.not_in_csrss_handles_false_avg,0.16328880935907364,0.07092845948378108
166,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,4,ldrmodules.not_in_load; ldrmodules.not_in_load_avg; ldrmodules.not_in_init_avg; ldrmodules.not_in_mem,0.5481204129755497,0.2380894113722025
167,180solutions,CWS,T1014,Rootkit,MEDIUM_CANDIDATE,2,psxview.not_in_pslist_false_avg; psxview.not_in_ethread_pool_false_avg,0.12853845208883286,0.048836517766200294
167,180solutions,CWS,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_mem_avg; ldrmodules.not_in_init_avg; ldrmodules.not_in_load_avg,0.4368351399898529,0.1659698458191442
168,180solutions,Gator,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist,0.08133449405431747,0.04380967006397691
168,180solutions,Gator,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_mem_avg,0.3595255836844444,0.19365334946640805
169,180solutions,180solutions,T1055,Process Injection,HIGH_CANDIDATE,1,malfind.uniqueInjections,0.24882002174854279,0.12242016316996557
169,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_load_avg; ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.371516939252615,0.18278739791154958
170,180solutions,Reconyc,T1055,Process Injection,HIGH_CANDIDATE,2,malfind.uniqueInjections; malfind.ninjections,0.2421189472079277,0.11794435894654916
170,180solutions,Reconyc,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_load,0.3687135875225067,0.17961290603943483
171,180solutions,180solutions,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.053140707314014435,0.03034738645198007
171,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_load_avg; ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.24323314055800438,0.13890462674545312
172,180solutions,Refroso,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_mem_avg; ldrmodules.not_in_load_avg; ldrmodules.not_in_init_avg,0.37413985282182693,0.18131039094497592
173,180solutions,Ako,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_mem,0.09717041999101639,0.0677015154962789
174,180solutions,180solutions,T1055,Process Injection,HIGH_CANDIDATE,1,malfind.uniqueInjections,0.07646188884973526,0.022995719910301658
174,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.12286195904016495,0.0369504238022544
175,180solutions,180solutions,T1014,Rootkit,MEDIUM_CANDIDATE,2,psxview.not_in_pslist_false_avg; psxview.not_in_session_false_avg,0.3911619931459427,0.11460050475072085
175,180solutions,180solutions,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_load_avg; ldrmodules.not_in_load; ldrmodules.not_in_init_avg,0.5630544126033783,0.164960607157948
176,180solutions,Shade,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,3,ldrmodules.not_in_init_avg; ldrmodules.not_in_load_avg; ldrmodules.not_in_mem_avg,0.38379789888858795,0.1614536952599106
177,180solutions,Transponder,T1055,Process Injection,HIGH_CANDIDATE,2,malfind.ninjections; malfind.uniqueInjections,0.5899516046047211,0.21611899805339693
177,180solutions,Transponder,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_mem_avg,0.176483616232872,0.06465184943202931
178,180solutions,CWS,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,5,ldrmodules.not_in_mem_avg; ldrmodules.not_in_load; ldrmodules.not_in_mem; ldrmodules.not_in_init_avg; ldrmodules.not_in_load_avg,0.5013915151357651,0.3484979217325894
179,180solutions,Maze,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,4,ldrmodules.not_in_mem; ldrmodules.not_in_load; ldrmodules.not_in_load_avg; ldrmodules.not_in_mem_avg,0.7246420942246914,0.6162019159012163
180,180solutions,Transponder,T1014,Rootkit,MEDIUM_CANDIDATE,4,psxview.not_in_deskthrd_false_avg; psxview.not_in_pslist_false_avg; psxview.not_in_ethread_pool_false_avg; psxview.not_in_pslist,0.7339440584182739,0.2903522694788035
180,180solutions,Transponder,T1055,Process Injection,HIGH_CANDIDATE,2,malfind.uniqueInjections; malfind.ninjections,0.45588579773902893,0.18035090614664495
180,180solutions,Transponder,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init,0.11505061388015747,0.04551464987266871
181,180solutions,CWS,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.06636553257703781,0.026368391661678935
