Test_Local_Index,True_Family,Predicted_Family,Correct,Mean_TopK_Jaccard,Std_TopK_Jaccard,Mean_SHAP_Rank_Spearman,Prediction_Stability
7093,Transponder,Transponder,1,0.7966200466200466,0.14052266350986123,0.9246304347826086,0.2
1311,Benign,Benign,1,0.759090909090909,0.092150613330515,0.9645804476197417,1.0
2247,Benign,Benign,1,0.9545454545454547,0.07872958216222167,0.9866516002041263,1.0
5167,Maze,Shade,0,0.458470695970696,0.11833269233430323,0.8750180923433202,0.65
6561,Gator,Gator,1,0.5045745920745921,0.16609551117431062,0.8939463019250251,0.0
4893,Conti,Gator,0,0.4908383283383283,0.1529666590402983,0.8986105080330005,0.0
5079,Conti,Conti,1,0.6321345321345321,0.14839083331677472,0.9121490909090909,0.25
2704,Benign,Benign,1,0.990909090909091,0.03962635403218793,0.991357439673398,1.0
8467,Scar,Reconyc,0,0.6362137862137861,0.13237734870941814,0.9034990591981472,0.35
7310,Transponder,Transponder,1,0.6390276390276389,0.10220099760558789,0.9046739130434783,0.2
5994,180solutions,Conti,0,0.44145854145854146,0.11207136472694096,0.854141818181818,0.25
7197,Transponder,CWS,0,0.599150849150849,0.093984108452993,0.9252819548872179,0.7
858,Benign,Benign,1,0.9272727272727274,0.08907235428302462,0.9896041408471239,1.0
7892,Refroso,Refroso,1,0.593056943056943,0.13794092040327816,0.8968727272727273,0.0
5105,Conti,Maze,0,0.4569347319347319,0.14096904541336117,0.8776050724637681,0.0
3633,Benign,Benign,1,0.9818181818181818,0.05454545454545453,0.9861303492017205,1.0
4129,Benign,Benign,1,0.990909090909091,0.03962635403218793,0.9886017350732667,1.0
4452,Benign,Benign,1,0.8651515151515152,0.09412249994240819,0.9775169497703577,1.0
5900,180solutions,Emotet,0,0.6058108558108557,0.09820895564140673,0.9449051961210015,0.4
633,Benign,Benign,1,0.9272727272727271,0.08907235428302465,0.9888568929066122,1.0
7077,Transponder,Transponder,1,0.5884115884115884,0.10987118778753482,0.926608695652174,0.2
2124,Benign,Benign,1,0.8227272727272729,0.09155076569709572,0.9892687905518699,1.0
6079,180solutions,Gator,0,0.41870213120213123,0.15439402627865362,0.9317629179331306,0.05
8423,Scar,Scar,1,0.652097902097902,0.10065740678660688,0.9428307022318997,0.55
6382,CWS,Gator,0,0.6288877788877788,0.12905391172659245,0.8863040961065275,0.0
3427,Benign,Benign,1,0.8424242424242424,0.11798740808443506,0.9887147335423199,1.0
4158,Benign,Benign,1,0.8515151515151516,0.12268049987877067,0.980174236349056,1.0
4331,Benign,Benign,1,0.8818181818181816,0.08672174558335866,0.984905591601662,1.0
8626,Zeus,Pysa,0,0.6685148185148184,0.12295301607077684,0.9475925390399074,0.4
4773,Ako,CWS,0,0.6366966366966367,0.0798211592269152,0.8546775592828222,0.2
6840,TIBS,TIBS,1,0.679020979020979,0.1487429738318164,0.9539673913043478,1.0
6945,TIBS,Refroso,0,0.7792540792540793,0.12578797880888862,0.9613163636363637,0.35
3746,Benign,Benign,1,0.9,0.09045340337332908,0.9878216811256108,1.0
3450,Benign,Benign,1,0.8818181818181818,0.08672174558335867,0.9838266384778013,1.0
7186,Transponder,Transponder,1,0.5277222777222776,0.10532168702832255,0.8865869565217392,0.0
714,Benign,Benign,1,0.9545454545454547,0.07872958216222167,0.9848108186921337,1.0
5974,180solutions,Shade,0,0.6064768564768563,0.10068549494001182,0.923299319727891,0.1
6403,CWS,Transponder,0,0.8303030303030303,0.08430562268632459,0.939086956521739,0.9
7715,Reconyc,Reconyc,1,0.7171328671328671,0.11622863588335534,0.9460811984368215,0.7
798,Benign,Benign,1,0.9545454545454544,0.07872958216222167,0.9829773274039513,1.0
2580,Benign,Benign,1,0.9727272727272727,0.06492207662311679,0.9881424509732447,1.0
911,Benign,Benign,1,0.8909090909090909,0.08907235428302462,0.9876394255303638,1.0
9056,Ako,Refroso,0,0.6089743589743589,0.06378124596837306,0.9043599999999998,0.0
7069,Transponder,Transponder,1,0.8242424242424242,0.10567027741916785,0.9416159420289855,0.85
409,Benign,Benign,1,0.9272727272727274,0.08907235428302462,0.987336881242254,1.0
7976,Refroso,Refroso,1,0.5106227106227106,0.10169965375353449,0.8747236363636363,0.0
6533,Gator,Gator,1,0.512186832775068,0.1695687004619818,0.8795918367346939,0.0
4080,Benign,Benign,1,0.8909090909090909,0.08907235428302462,0.9880841291827658,1.0
8000,Refroso,Refroso,1,0.47747252747252744,0.10242844901398898,0.9395709090909092,0.65
1817,Benign,Benign,1,0.909090909090909,0.0909090909090909,0.98247430196107,1.0
3397,Benign,Benign,1,0.8015151515151515,0.11986945761405143,0.9830611649777647,1.0
594,Benign,Benign,1,0.9636363636363636,0.07272727272727271,0.9770649558941459,1.0
875,Benign,Benign,1,0.9818181818181818,0.05454545454545453,0.9821936283443901,1.0
4655,Benign,Benign,1,0.9818181818181818,0.05454545454545453,0.9905190639352629,1.0
9069,Ako,Conti,0,0.5719280719280719,0.12352348752904724,0.9352727272727271,0.3
4076,Benign,Benign,1,0.8833333333333334,0.10062933283224443,0.9811000947729095,1.0
2927,Benign,Benign,1,0.9818181818181818,0.05454545454545453,0.9850149449588101,1.0
7545,Emotet,Gator,0,0.666083916083916,0.10329490382323393,0.924938486032711,0.05
5889,180solutions,Pysa,0,0.7235431235431236,0.10954074172232083,0.9450910931174086,0.7
6327,CWS,Refroso,0,0.5003663003663004,0.10849171291140981,0.9307672727272728,0.1
4392,Benign,Benign,1,0.9181818181818183,0.09045340337332905,0.9899030400233286,1.0
7275,Transponder,Transponder,1,0.6701631701631701,0.07679051939407523,0.8964202898550726,0.15
3841,Benign,Benign,1,0.8409090909090908,0.10578969730127986,0.9728621418677553,1.0
3307,Benign,Benign,1,0.9545454545454547,0.07872958216222167,0.9908908653495659,1.0
6960,TIBS,Gator,0,0.5246087246087245,0.12181170387827094,0.9004414531770154,0.0
1215,Benign,Benign,1,0.8196969696969697,0.05290027348513968,0.9728985929868046,1.0
6424,Gator,Gator,1,0.5002497502497503,0.1438864681643074,0.9041684759009987,0.6
3090,Benign,Benign,1,0.9,0.09045340337332908,0.9899358460304729,1.0
828,Benign,Benign,1,0.8545454545454545,0.07272727272727271,0.9874389443755922,1.0
5285,Maze,Pysa,0,0.5796703296703296,0.08665829832740388,0.8608624927703872,0.15
4190,Benign,Benign,1,1.0,0.0,0.9880586133994314,1.0
7800,Reconyc,Scar,0,0.8136363636363637,0.08202834959781312,0.963476682997641,0.7
