Relative_Path,Size_Bytes,SHA256
benchmarks/scripts/shap_deep_analysis.py,29162,ad6f825bf632e0cce7f73cc5d36f9478355bbe710da07b8619da6280fa9ce572
benchmarks/scripts/shap_rfe.py,4738,6cc9877f433a83f4819ed51ecb065b2f8bf773a2448bbd0fae87ae28521408ea
CHANGELOG.md,1200,8fa93be43c58e0ac20824019a7e22c952d41e8c095390125c99abccc49e2555f
CITATION.cff,1316,8b67e72a89b7f0beecbf1dad96c9bd42b5307ed7b7416442d01ecb79a706af8b
docs/BENCHMARK_PROTOCOL.md,1930,1f3a7dd7aeba29710c3cadd387200483a0a1f248fb2e424027e7cfa46bdc8245
docs/CLAIMS_AND_LIMITATIONS.md,2333,c1d17496e3ad96aea45eeede8185a479f74f4aa1f2b4c9dbc6861c432abb5e25
docs/DATA_AVAILABILITY.md,1116,b6c073a9eca03b101488720fcf303947821ccfa3354521a39feba97bdf6260dc
docs/DATASET_NOTICE.txt,699,3445af2746ce7d339b8487029b6b2ca03cd725ebabd34871f0eb98b7d3bd6629
docs/README_EXECUTION.md,2378,35ae759b6bf1fd4ccb1e83c78885ba9e53939dc0bc9ae32d14fa4af848af9544
docs/REPRODUCIBILITY.md,837,c5ac9d258f80620bf09d216f0c0d442f11eb5e43fd43527e8ada1286888e96ab
docs/THIRD_PARTY_DATA.md,2373,0b6b6dea1932b29c41e069cab3e9cc42959d213ba83048f4f808870567ae0ebf
LICENSE,4444,274a7b9f88c756b824df67845d69d153d1e62fc26fb749f34478f3896e6fca28
LICENSE_NOTICE.md,1547,8de5ed49e528d84c6245de437e09a90b32802f50084aad000322cc90eeaae654
metadata/artifact_manifest.csv,7139,2e0bf425a22c246b88459471a737f8b7a78de23c2b1704c7a81f9da7feae3958
metadata/environment.json,375,aa0cc579062d4fccdbfd508c4a6154f2f968e0a24feca013d7b2c5f40ddfd1a5
metadata/leakage_audit_summary.json,869,dc3fb3da0814e34dc098dec10173f2fa91ffa19b82858d9a8b787184da208354
metadata/public_release_metadata.json,1850,b876b9738b6f4c8e9629219e44b85a37d9c74e1d08b4fc470842d8f3dd7b7cdc
metadata/requirements_original.txt,179,abcff6c7ef654e61648a0d66a6cc9417ffb634dbb326b913fe5e0e4ab83ed5d9
metadata/source_dataset_fingerprint.json,594,4bff28818ac7792df2867118e00dac0083b366994c9c12c487dff82ff8841d29
metadata/stage_ix_a_summary.json,759,d61fa9a5c56e02b4fc62eb796e0dad3c5793bc72aeb15db4e33d68db4878a66a
README.md,3447,a05c5982ec17f4c32c0e134361430ca8d79949e4d7c4de9e5b46057a77d0bc52
requirements.txt,179,abcff6c7ef654e61648a0d66a6cc9417ffb634dbb326b913fe5e0e4ab83ed5d9
splits/rigorous_locked_split_manifest.csv,3597791,e90a41d8ea7c974a0ad4c3092aea70be8c425fab2b4779aa3b3c9b144b3b1e9e
splits/split_metadata.json,360,5a53486b2cf0874d69e1c7a94c8774ba6aa3fc5ea544f7cc4445a4e1fb88e00f
validation/artifact_hash_validation.csv,3001,34cebb5d2b6ab66bb896bb5e8c3eaf8bca1d91f3969d6bd68117dbef86efbeb3
validation/github_raw_data_scan.csv,1114,237290cd06a456231518b984966abcd2cf4e88a563b4b5867fdc7e40efb7ecfa
validation/package_completeness_check.csv,1963,07fa1b78f3cf32099fbaa0416f8680044906d9c44a10179f37de79ea1f8095ae
validation/raw_data_leak_scan.csv,60,b65fecdcd6f75c0e84052f0767e5bc3b08b48f84ad85c6bf8e6b6399f1446bbd
validation/release_readiness_checks.csv,654,9bae906adb4a32d18eb09d7ba205e2beda57484d97b98d489007856cff2161e0
validation/stage_ix_b_validation_summary.json,834,216cbd2ece7bdfd8a92324165761739b8d79a4245f8843d239d0e81d0915fabc
validation/stage_ix_c_completeness_summary.json,811,3564eee6b0ae5bd37a03bc9de76c6ad570f378c81a7f7e489022d7886b3d977f
validation/stage_x_a_public_release_metadata_summary.json,905,9abacbdda4086005b3f140746f065b018f6a71cd65abf61fe20e16b55b096a75
validation/stage_x_b_github_build_summary.json,438,8610289317091c77286f8566ff41774e5ea925a0506524dca7bc28d5a3290640
VERSION,7,f21dcc10f28ea1ede5510b510904990584f28bd9744914fa4cb7a4811fd458f8
xai/counterfactual/counterfactual_summary.csv,8912,b836074c6d351c464876b9f471c08a3f5dbc490f75830e9a9c0d7d2a8b165a3c
xai/shap/local_explanation_cases.csv,185,14f5f3c6248e9f253cf8b093f9aa4fdc56dcd80397b7dde06e6cd1aa1d2679c2
xai/shap/local_shap_contributions.csv,8428,b2cc53c16ef1ca65873cc211c290ac93f0645232fbc41edd625d7bb8e1ab3d81
xai/stability/explanation_stability.csv,8483,6212c2647ae9976582a9c4c74875177d8a1ba50e4c14b84cb2538c7a0039e815
xai/stability/family_level_stability.csv,4703,0d313444a09608587273452b89fc7d476ded320a21b34bca7aa8b58f83d12d93
xai/stability/multiscale_stability_sample_level.csv,84498,0a93626a5ca882249a55a1fc8b10b579c7cafee9ebc86a6e9264e4f774fae7d9
xai/stability/paper_stability_curve.csv,507,82043dad79fd9637b6b46b5cdb8ac101c0618f8f710d30b1967ed5e93f0850d2
