Relative_Path,Source_Relative_Path,Size_Bytes,SHA256,Required
docs\REPRODUCIBILITY.md,GENERATED_BY_STAGE_X_A,837,c5ac9d258f80620bf09d216f0c0d442f11eb5e43fd43527e8ada1286888e96ab,True
docs\THIRD_PARTY_DATA.md,GENERATED_BY_STAGE_X_A,2373,0b6b6dea1932b29c41e069cab3e9cc42959d213ba83048f4f808870567ae0ebf,True
metadata\environment.json,GENERATED_BY_STAGE_IX_A,375,aa0cc579062d4fccdbfd508c4a6154f2f968e0a24feca013d7b2c5f40ddfd1a5,True
metadata\public_release_metadata.json,GENERATED_BY_STAGE_X_A,1572,903341a895754410ac8e7bdd4eeee7dc0fb5d810cb60fb40595a76b6c1576980,True
metadata\requirements_original.txt,requirements.txt,179,abcff6c7ef654e61648a0d66a6cc9417ffb634dbb326b913fe5e0e4ab83ed5d9,False
validation\package_completeness_check.csv,GENERATED_BY_STAGE_IX_C,1963,07fa1b78f3cf32099fbaa0416f8680044906d9c44a10179f37de79ea1f8095ae,True
xai\counterfactual\counterfactual_summary.csv,outputs\counterfactual_stability\counterfactual_summary.csv,8912,b836074c6d351c464876b9f471c08a3f5dbc490f75830e9a9c0d7d2a8b165a3c,True
xai\shap\local_explanation_cases.csv,outputs\shap_multiclass_analysis\local_explanation_cases.csv,185,14f5f3c6248e9f253cf8b093f9aa4fdc56dcd80397b7dde06e6cd1aa1d2679c2,False
xai\shap\local_shap_contributions.csv,outputs\shap_deep_analysis\local_shap_contributions.csv,8428,b2cc53c16ef1ca65873cc211c290ac93f0645232fbc41edd625d7bb8e1ab3d81,False
xai\stability\explanation_stability.csv,outputs\counterfactual_stability\explanation_stability.csv,8483,6212c2647ae9976582a9c4c74875177d8a1ba50e4c14b84cb2538c7a0039e815,True
xai\stability\family_level_stability.csv,outputs\multiscale_xai_stability\family_level_stability.csv,4703,0d313444a09608587273452b89fc7d476ded320a21b34bca7aa8b58f83d12d93,True
xai\stability\multiscale_stability_sample_level.csv,outputs\multiscale_xai_stability\multiscale_stability_sample_level.csv,84498,0a93626a5ca882249a55a1fc8b10b579c7cafee9ebc86a6e9264e4f774fae7d9,True
xai\stability\paper_stability_curve.csv,outputs\multiscale_xai_stability\paper_stability_curve.csv,507,82043dad79fd9637b6b46b5cdb8ac101c0618f8f710d30b1967ed5e93f0850d2,True
